participant,group,Lefthanded,Gender,A_V_OK,Event,condition,CONTEXT_Trial,CONTEXT_Item,CONTEXT_Accuracy,CONTEXT_RT,CONTEXT_Position,CONTEXT_cat,CONTEXT_catspec,CONTEXT_solution,CONTEXT_property,CONTEXT_concept,CONTEXT_LSA_distance,CONTEXT_mean_perceptualstrength,CONTEXT_mean_concreteness,CONTEXT_mean_exc,CONTEXT_prop_concreteness,CONTEXT_prop_exc,CONTEXT_prop_lg10CD,CONTEXT_prop_orthneigh,CONTEXT_prop_letters,CONTEXT_conc_concreteness,CONTEXT_conc_exc,CONTEXT_conc_lg10CD,CONTEXT_conc_letters,CONTEXT_mean_lg10CD,CONTEXT_conc_orthneigh,TARGET_Trial,TARGET_Item,TARGET_Accuracy,TARGET_RT,TARGET_Position,TARGET_cat,TARGET_catspec,TARGET_solution,TARGET_property,TARGET_concept,TARGET_LSA_distance,TARGET_mean_perceptualstrength,TARGET_mean_concreteness,TARGET_mean_exc,TARGET_prop_concreteness,TARGET_prop_exc,TARGET_prop_lg10CD,TARGET_prop_orthneigh,TARGET_prop_letters,TARGET_conc_concreteness,TARGET_conc_exc,TARGET_conc_lg10CD,TARGET_conc_letters,TARGET_mean_lg10CD,TARGET_conc_orthneigh,log_cooccurrence_propertytoproperty
9,,N,F,Y,12,visual2visual,23,171,rightanswer,802,context,visual,v_het,Ja,Vlak,Dek,0.820377,3.738,3.7,0.373104146,NA,0.441860465,3.21,9,4,NA,0.304347826,2.8,3,3.005,22,24,63,rightanswer,1259,target,visual,v_het,Nee,Gevormd,Oosten,0.945895,2.762,3.27,0.394009217,NA,0.14516129,2.29,0,7,NA,0.642857143,2.71,6,2.5,5,9.703144581
10,,N,F,Y,12,haptic2visual,23,132,wronganswer,667,context,haptic,h_de,Nee,Stekelige,Deken,0.795281,3.786,4.465,0.284749035,NA,0.285714286,0.9,0,9,NA,0.283783784,2.6,5,1.75,18,24,24,rightanswer,530,target,visual,v_het,Nee,Onrijp,Dek,1.0097,3.063,3.73,0.367860188,NA,0.431372549,0.85,0,6,NA,0.304347826,2.8,3,1.825,22,0
11,Quick,N,F,Y,12,visual2visual,23,174,wronganswer,1520,context,visual,v_de,Ja,Ruige,Pupil,0.89657,3.813,3.265,0.391598916,NA,0.222222222,2.09,5,5,NA,0.56097561,1.66,5,1.875,0,24,51,wronganswer,437,target,visual,v_de,Nee,Aardse,Magie,0.839526,2.286,1.97,0.312807882,NA,0.142857143,2.18,6,6,NA,0.482758621,2.75,5,2.465,1,5.65248918
12,Quick,N,M,Y,12,visual2visual,23,175,rightanswer,978,context,visual,v_de,Nee,Kleine,Reus,0.710016,3.679,3.5,0.404761905,NA,0.476190476,3.67,4,6,NA,0.333333333,2.29,4,2.98,7,24,64,rightanswer,1142,target,visual,v_de,Nee,Rechthoekige,Sierlijkheid,0.610794,3.884,4,0.417568543,NA,0.53968254,1,0,12,NA,0.295454545,0.6,12,0.8,0,8.049107721
13,Quick,N,F,Y,12,haptic2visual,23,110,rightanswer,568,context,haptic,h_het,Nee,Drassig,Welzijn,1.02971,3.444,2.73,0.157072369,NA,0.15625,0.78,0,7,NA,0.157894737,2.33,7,1.555,0,24,14,rightanswer,583,target,visual,v_de,Nee,Diepe,Plug,0.914433,3.5,3.6,0.326666667,NA,0.253333333,2.69,10,5,NA,0.4,1.56,4,2.125,3,0
14,Selfpaced,N,F,Y,12,haptic2visual,23,124,rightanswer,441,context,haptic,h_het,Nee,Zijdeachtig,Zeer,0.880074,3.911,1.6,0.255668399,NA,0.356164384,0.7,0,12,NA,0.155172414,3.5,4,2.1,19,24,19,wronganswer,522,target,visual,v_de,Ja,Jankende,Proportie,NA,3.013,1.8,0.346082779,NA,0.207317073,1.36,2,8,NA,0.484848485,1.32,9,1.34,1,0
15,Selfpaced,N,F,Y,12,auditory2visual,23,204,wronganswer,1041,context,auditory,a_de,Nee,Grommende,Economie,NA,3.771,1.53,0.412207358,NA,0.47826087,0.95,1,9,NA,0.346153846,2.44,8,1.695,0,24,91,wronganswer,805,target,visual,v_de,Nee,Vage,Plug,0.958488,3.05,3.1,0.348148148,NA,0.296296296,2.18,14,4,NA,0.4,1.56,4,1.87,3,0
16,Selfpaced,N,F,Y,12,auditory2visual,23,188,rightanswer,1071,context,auditory,a_de,Nee,Giechelende,Overeenkomst,NA,4.042,1.93,0.270701755,NA,0.394736842,0.78,1,11,NA,0.146666667,2.73,12,1.755,1,24,81,rightanswer,1530,target,visual,v_het,Nee,Stoffig,Loon,0.881351,3.119,3.47,0.277958153,NA,0.396825397,1.76,1,7,NA,0.159090909,2.8,4,2.28,13,0
17,Selfpaced,N,F,Y,12,auditory2visual,23,212,wronganswer,529,context,auditory,a_het,Ja,Zoemend,Advies,NA,4.59,1.87,0.506112145,NA,0.603773585,0.85,0,7,NA,0.408450704,3.04,6,1.945,0,24,108,rightanswer,355,target,visual,v_de,Ja,Blonde,Pupil,0.910093,4.05,4.1,0.620110447,NA,0.679245283,2.55,4,6,NA,0.56097561,1.66,5,2.105,0,5.598421959
18,Selfpaced,N,F,Y,12,haptic2visual,23,113,rightanswer,422,context,haptic,h_het,Nee,Kietelend,Pistool,NA,4.089,4.87,0.2,NA,0.307692308,0.6,1,9,NA,0.092307692,3.23,7,1.915,0,24,33,wronganswer,509,target,visual,v_het,Ja,Elegant,Effect,0.949052,3.238,2.2,0.457317073,NA,0.5,2.31,1,7,NA,0.414634146,2.77,6,2.54,0,0
